decile,actual_repeat_rate,n,lift_vs_baseline
9,0.04148783977110158,1398,1.48
8,0.03934191702432046,1398,1.4
7,0.03364352183249821,1397,1.2
6,0.026466380543633764,1398,0.94
5,0.031496062992125984,1397,1.12
4,0.024320457796852647,1398,0.87
3,0.02145922746781116,1398,0.77
2,0.025769506084466716,1397,0.92
1,0.020028612303290415,1398,0.71
0,0.016452074391988557,1398,0.59
